Species,Invaded range,Invaded range marine province,Data source
Undaria pinnatifida,Atlantic - Northeast,Northern European Seas,CABI Invasive Species Compendium
Undaria pinnatifida,Atlantic - Southwest,Warm Temperate Southwestern Atlantic,CABI Invasive Species Compendium
Undaria pinnatifida,Atlantic - Southwest,Magellanic,CABI Invasive Species Compendium
Undaria pinnatifida,Indian Ocean - Eastern,Sunda Shelf,CABI Invasive Species Compendium
Undaria pinnatifida,Indian Ocean - Eastern,Southwest Australian Shelf,CABI Invasive Species Compendium
Undaria pinnatifida,Indian Ocean - Eastern,West Central Australian Shelf,CABI Invasive Species Compendium
Undaria pinnatifida,Mediterranean,Mediterranean Sea,CABI Invasive Species Compendium
Undaria pinnatifida,Black Sea,Black Sea,CABI Invasive Species Compendium
Undaria pinnatifida,Pacific - Eastern Central,Tropical East Pacific,CABI Invasive Species Compendium
Undaria pinnatifida,Pacific - Eastern Central,Warm Temperate Northeast Pacific,CABI Invasive Species Compendium
Undaria pinnatifida,Pacific - Southwest,East Central Australian Shelf,CABI Invasive Species Compendium
Undaria pinnatifida,Pacific - Southwest,Southeast Australian Shelf,CABI Invasive Species Compendium
Undaria pinnatifida,Pacific - Southwest,Southwest Australian Shelf,CABI Invasive Species Compendium
Undaria pinnatifida,Pacific - Southwest,West Central Australian Shelf,CABI Invasive Species Compendium
Undaria pinnatifida,Pacific - Southwest,Northern New Zealand,CABI Invasive Species Compendium
Undaria pinnatifida,Pacific - Southwest,Southern New Zealand,CABI Invasive Species Compendium
Undaria pinnatifida,Argentina,Warm Temperate Southwestern Atlantic,CABI Invasive Species Compendium
